"borough","modzcta","neighborhood_name","pop_denominator","count_age_edu","edu_count","edu","age","partially_vaccinated_prop","fully_vaccinated_prop","booster_prop","edu_prop"
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,19115,1407,"HS or less","under 65",0.322320929988495,1.20458196177574,0.542827448851964,0.0736071148312843
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,19115,3909,"HS to B.A.","under 65",0.322320929988495,1.20458196177574,0.542827448851964,0.204499084488622
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,19115,13799,"B.A. or more","under 65",0.322320929988495,1.20458196177574,0.542827448851964,0.721893800680094
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,3164,880,"HS or less","65 +",0.322320929988495,1.20458196177574,0.542827448851964,0.278128950695322
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,3164,940,"HS to B.A.","65 +",0.322320929988495,1.20458196177574,0.542827448851964,0.297092288242731
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,3164,1344,"B.A. or more","65 +",0.322320929988495,1.20458196177574,0.542827448851964,0.424778761061947
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,25443,2287,"HS or less","total",0.322320929988495,1.20458196177574,0.542827448851964,0.0898871988366152
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,25443,4849,"HS to B.A.","total",0.322320929988495,1.20458196177574,0.542827448851964,0.190582871516724
"Manhattan","10001","Chelsea/NoMad/West Chelsea",25536.66,25443,15143,"B.A. or more","total",0.322320929988495,1.20458196177574,0.542827448851964,0.595173525134615
"Manhattan","10002","Chinatown/Lower East Side",63973.22,46979,11632,"HS or less","under 65",0.115970401364821,0.963340597831405,0.588840142797252,0.247599991485557
"Manhattan","10002","Chinatown/Lower East Side",63973.22,46979,16238,"HS to B.A.","under 65",0.115970401364821,0.963340597831405,0.588840142797252,0.345643798292854
"Manhattan","10002","Chinatown/Lower East Side",63973.22,46979,19109,"B.A. or more","under 65",0.115970401364821,0.963340597831405,0.588840142797252,0.406756210221588
"Manhattan","10002","Chinatown/Lower East Side",63973.22,17651,9874,"HS or less","65 +",0.115970401364821,0.963340597831405,0.588840142797252,0.559401733612827
"Manhattan","10002","Chinatown/Lower East Side",63973.22,17651,4878,"HS to B.A.","65 +",0.115970401364821,0.963340597831405,0.588840142797252,0.276358279984137
