NEIGHBORHOOD_NAME,BOROUGH,MODZCTA,Label,POP_DENOMINATOR,COUNT_PARTIALLY_CUMULATIVE,COUNT_FULLY_CUMULATIVE,COUNT_1PLUS_CUMULATIVE,COUNT_ADDITIONAL_CUMULATIVE
Chelsea/NoMad/West Chelsea,Manhattan,10001,"10001, 10118",25536.66,8231,30761,38992,13862
Chinatown/Lower East Side,Manhattan,10002,10002,63973.22,7419,61628,69047,37670
East Village/Gramercy/Greenwich Village,Manhattan,10003,10003,50398.54,6675,39005,45680,24957
Financial District,Manhattan,10004,10004,2684.95,718,3611,4329,1970
Financial District,Manhattan,10005,10005,8169.56,1542,7956,9498,4469
Financial District,Manhattan,10006,10006,3155.66,988,4116,5104,1941
TriBeCa,Manhattan,10007,10007,5573.4,1141,6085,7226,3747
Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,10009,10009,50563.97,5466,43065,48531,26324
Flatiron/Gramercy/Kips Bay,Manhattan,10010,10010,30671.32,3452,24397,27849,16380
Chelsea,Manhattan,10011,10011,45084.43,5415,39059,44474,26483
Greenwich Village/SoHo,Manhattan,10012,10012,20884.75,2657,16681,19338,10593
Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,10013,10013,24655.72,3617,22566,26183,14477
Hudson Square/Meatpacking District/West Village,Manhattan,10014,10014,27625.86,3338,23527,26865,15773
Kips Bay/Murray Hill/NoMad,Manhattan,10016,10016,47219.34,7007,45805,52812,27912
East Midtown/Murray Hill,Manhattan,10017,10017,14525.37,3931,15625,19556,8840
Hell's Kitchen/Midtown Manhattan,Manhattan,10018,10018,11074.47,7071,18316,25387,4742
Hell's Kitchen/Midtown Manhattan,Manhattan,10019,"10019, 10020",40079.15,11985,46545,58530,24180
Lenox Hill/Upper East Side,Manhattan,10021,10021,39649.27,3898,33105,37003,23896
East Midtown,Manhattan,10022,10022,28093.47,5055,27340,32395,17681
Lincoln Square,Manhattan,10023,10023,53514.3,6622,48634,55256,34032
Upper West Side,Manhattan,10024,10024,48892.24,5162,42765,47927,30949
Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,10025,10025,78357.64,9139,67544,76683,44364
Central Harlem (South),Manhattan,10026,10026,31433.75,3053,23564,26617,12328
Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,10027,10027,52767.1,7441,40369,47810,20911
Upper East Side/Yorkville,Manhattan,10028,10028,40085.88,3782,33036,36818,23859
East Harlem,Manhattan,10029,10029,62632.91,5770,53485,59255,26440
Central Harlem (North),Manhattan,10030,10030,23158.57,2198,17384,19582,7782
Hamilton Heights/West Harlem,Manhattan,10031,10031,48898.28,4576,38152,42728,17245
Washington Heights (South),Manhattan,10032,10032,52605.38,4877,41504,46381,19141
Washington Heights (North)/Washington Heights (South),Manhattan,10033,10033,48322.89,3980,36697,40677,17751
Inwood/Washington Heights (North),Manhattan,10034,10034,34453.5,2758,26121,28879,12358
East Harlem,Manhattan,10035,10035,28175.25,3164,24407,27571,11188
Hell's Kitchen/Midtown Manhattan,Manhattan,10036,10036,25289.35,10450,37028,47478,16093
Central Harlem (North)/East Harlem,Manhattan,10037,10037,17343.23,1261,12882,14143,6531
Chinatown/Financial District,Manhattan,10038,10038,20421.84,3124,18186,21310,10682
Central Harlem (North)/Washington Heights (South),Manhattan,10039,10039,20884.26,2013,16219,18232,6967
Washington Heights (North),Manhattan,10040,10040,36148.6,2973,28046,31019,13406
Roosevelt Island,Manhattan,10044,10044,9832,1115,8815,9930,5611
Lenox Hill/Upper East Side,Manhattan,10065,10065,24466.3,3399,21874,25273,14701
Lincoln Square,Manhattan,10069,10069,5375.84,638,5178,5816,3498
Lenox Hill/Upper East Side,Manhattan,10075,"10075, 10162",19863.75,2355,18779,21134,13331
Upper East Side/Yorkville,Manhattan,10128,10128,49297.99,5124,43886,49010,31329
Battery Park City,Manhattan,10280,10280,7517.17,786,6139,6925,4255
Battery Park City,Manhattan,10282,10282,4396.18,487,3451,3938,2330
Silver Lake/St. George,Staten Island,10301,10301,30789.03,2762,26440,29202,12742
Elm Park,Staten Island,10302,10302,13841.82,1492,12524,14016,4732
Graniteville/Mariner's Harbor/Port Ivory,Staten Island,10303,10303,19271.57,1643,16943,18586,7028
New Dorp/Todt Hill,Staten Island,10304,10304,32365.49,2817,29197,32014,13915
Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,10305,10305,34316.79,2453,29870,32323,14051
Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,10306,10306,42372.41,2555,38578,41133,18596
Tottenville,Staten Island,10307,10307,11247.29,547,8526,9073,3590
Great Kills,Staten Island,10308,10308,23778.46,1155,18276,19431,8566
Charleston/Prince's Bay/Woodrow,Staten Island,10309,10309,25505.78,1450,20696,22146,8905
Port Richmond/Randall Manor/West Brighton,Staten Island,10310,10310,17381.07,1516,16219,17735,7396
Annadale/Rossville,Staten Island,10312,10312,48423.66,2453,39635,42088,18623
Bloomfield/Freshkills Park,Staten Island,10314,10314,73874.68,4266,59315,63581,29692
Concourse/Melrose,Bronx,10451,10451,35946.71,3772,33391,37163,12895
Concourse/Highbridge,Bronx,10452,10452,54805.81,5900,49770,55670,18211
Morris Heights/Mount Hope/University Heights,Bronx,10453,10453,57359.96,6198,49713,55911,17289
Mott Haven/Port Morris,Bronx,10454,10454,27397.39,3074,23887,26961,8703
Mott Haven,Bronx,10455,10455,30573.43,3229,26303,29532,9646
Claremont/Morrisania,Bronx,10456,10456,66839.64,7057,55707,62764,19829
Belmont/Claremont/Mount Hope/Tremont,Bronx,10457,10457,53117.58,6547,46061,52608,16080
Belmont/Fordham University/Kingsbridge,Bronx,10458,10458,60560.21,6378,50047,56425,17948
Charlotte Gardens/Hunts Point,Bronx,10459,10459,34636.24,3699,30496,34195,11312
